STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00103964,"HAMER 4 NW, ID US",3/14/2000,,,0,0,0,59,23,55
USC00103964,"HAMER 4 NW, ID US",3/15/2000,,,0,0,0,55,24,40
USC00103964,"HAMER 4 NW, ID US",3/16/2000,,,0,0,0,51,12,47
USC00103964,"HAMER 4 NW, ID US",3/17/2000,,,0.27,0,0,47,25,43
USC00103964,"HAMER 4 NW, ID US",3/18/2000,,,0,0,0,47,16,47
USC00103964,"HAMER 4 NW, ID US",3/19/2000,,,0.08,0,0,47,28,30
USC00103964,"HAMER 4 NW, ID US",3/20/2000,,,0,0,0,41,13,38
USC00103964,"HAMER 4 NW, ID US",3/21/2000,,,0,0,0,47,12,46
USC00103964,"HAMER 4 NW, ID US",3/22/2000,,,0,0,0,54,15,53
USC00103964,"HAMER 4 NW, ID US",3/23/2000,,,0,0,0,53,20,46
USC00103964,"HAMER 4 NW, ID US",3/24/2000,,,0,0,0,49,12,45
USC00103964,"HAMER 4 NW, ID US",3/25/2000,,,0,0,0,60,16,55
USC00103964,"HAMER 4 NW, ID US",3/26/2000,,,0,0,0,64,23,50
USC00103964,"HAMER 4 NW, ID US",3/27/2000,,,0,0,0,64,20,62
USC00103964,"HAMER 4 NW, ID US",3/28/2000,,,0,0,0,63,38,46
USC00103964,"HAMER 4 NW, ID US",3/29/2000,,,0.01,0,0,48,21,43
USC00103964,"HAMER 4 NW, ID US",3/30/2000,,,0,0,0,50,18,46
USC00103964,"HAMER 4 NW, ID US",3/31/2000,,,0,0,0,51,21,49
USC00103964,"HAMER 4 NW, ID US",4/1/2000,,,0,0,0,54,16,50
USC00103964,"HAMER 4 NW, ID US",4/2/2000,,,0,0,0,50,28,45
USC00103964,"HAMER 4 NW, ID US",4/3/2000,,,0,0,0,55,16,55
USC00103964,"HAMER 4 NW, ID US",4/4/2000,,,0,0,0,73,20,71
USC00103964,"HAMER 4 NW, ID US",4/5/2000,,,0,0,0,72,34,64
USC00103964,"HAMER 4 NW, ID US",4/6/2000,,,0,0,0,64,28,58
USC00103964,"HAMER 4 NW, ID US",4/7/2000,,,0,0,0,58,20,54
USC00103964,"HAMER 4 NW, ID US",4/8/2000,,,0,0,0,63,14,62
USC00103964,"HAMER 4 NW, ID US",4/9/2000,,,0.1,0,0,63,32,43
USC00103964,"HAMER 4 NW, ID US",4/10/2000,,,0,0,0,65,25,62
USC00103964,"HAMER 4 NW, ID US",4/11/2000,,,0,0,0,68,24,68
USC00103964,"HAMER 4 NW, ID US",4/12/2000,,,0,0,0,74,34,72
USC00103964,"HAMER 4 NW, ID US",4/13/2000,,,0,0,0,74,39,68
USC00103964,"HAMER 4 NW, ID US",4/14/2000,,,0,0,0,68,42,55
USC00103964,"HAMER 4 NW, ID US",4/15/2000,,,0,0,0,64,26,59
USC00103964,"HAMER 4 NW, ID US",4/16/2000,,,0,0,0,60,31,51
USC00103964,"HAMER 4 NW, ID US",4/17/2000,,,0,0,0,64,38,61
USC00103964,"HAMER 4 NW, ID US",4/18/2000,,,0.02,0,0,63,36,44
USC00103964,"HAMER 4 NW, ID US",4/19/2000,,,0.14,0,0,60,40,59
USC00103964,"HAMER 4 NW, ID US",4/20/2000,,,0,0,0,63,44,60
USC00103964,"HAMER 4 NW, ID US",4/21/2000,,,0,0,0,71,34,70
USC00103964,"HAMER 4 NW, ID US",4/22/2000,,,0,0,0,72,43,67
