STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/5/2000,,,0.04,,,40,51,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/6/2000,,,0,,,41,51,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/7/2000,,,0,,,35,40,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/8/2000,,,0,,,32,37,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/9/2000,,,0,,,34,38,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/10/2000,,,0,,,32,35,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/11/2000,,,0,,,38,45,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/12/2000,,,0,,,31,43,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/13/2000,,,0,,,37,48,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/14/2000,,,0.01,,,40,52,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/15/2000,,,0,,,32,44,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/16/2000,,,0.02,,,33,48,17,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/17/2000,,,0.04,,,32,36,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/18/2000,,,0,,,31,42,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/19/2000,,,0.12,,,27,39,15,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/20/2000,,,0,,,25,40,10,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/21/2000,,,0,,,29,43,15,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/22/2000,,,0,,,35,50,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/23/2000,,,0,,,36,48,23,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/24/2000,,,0,,,37,55,18,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/25/2000,,,0,,,41,60,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/26/2000,,,0,,,47,61,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/27/2000,,,0,,,44,62,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/28/2000,,,0.01,,,41,52,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/29/2000,,,0,,,33,41,25,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/30/2000,,,0,,,34,48,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/31/2000,,,0,,,35,50,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/1/2000,,,0,,,35,50,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/2/2000,,,0,,,38,47,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/3/2000,,,0,,,38,54,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/4/2000,,,0,,,50,73,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/5/2000,,,0,,,50,62,37,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/6/2000,,,0,,,46,56,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/7/2000,,,0,,,39,51,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/8/2000,,,0,,,42,63,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/9/2000,,,0.05,,,46,58,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/10/2000,,,0,,,46,62,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/11/2000,,,0,,,48,66,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/12/2000,,,0,,,57,73,41,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/13/2000,,,0.02,,,57,71,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/14/2000,,,0,,,45,54,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/15/2000,,,0,,,45,60,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/16/2000,,,0,,,48,60,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/17/2000,,,0,,,51,61,41,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/18/2000,,,0.44,,,49,59,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/19/2000,,,0,,,48,55,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/20/2000,,,0,,,52,61,42,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/21/2000,,,0,,,53,70,36,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/22/2000,,,0,,,56,67,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/23/2000,,,0,,,47,58,36,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/24/2000,,,0,,,45,55,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/25/2000,,,0,,,47,62,31,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/26/2000,,,0,,,49,62,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/27/2000,,,0,,,56,78,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/28/2000,,,0,,,59,72,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/29/2000,,,0,,,44,54,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/30/2000,,,0,,,45,63,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/1/2000,,,0,,,53,74,32,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/2/2000,,,0,,,56,72,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/3/2000,,,0,,,57,77,36,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/4/2000,,,0,,,59,67,50,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/5/2000,,,0,,,46,51,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/6/2000,,,0.07,,,43,52,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/7/2000,,,0.18,,,44,48,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/8/2000,,,0.01,,,49,58,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/9/2000,,,0.07,,,50,59,41,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/10/2000,,,0,,,48,59,36,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/11/2000,,,0,,,38,46,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/12/2000,,,0,,,41,51,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/13/2000,,,0,,,45,61,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/14/2000,,,0,,,56,71,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/15/2000,,,0,,,57,70,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/16/2000,,,0.04,,,56,70,42,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/17/2000,,,0,,,50,60,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/18/2000,,,0,,,51,66,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/19/2000,,,0,,,55,69,41,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/20/2000,,,0,,,52,69,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/21/2000,,,0,,,61,75,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/22/2000,,,0,,,66,77,55,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/23/2000,,,0,,,63,77,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/24/2000,,,0,,,60,74,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/25/2000,,,0.04,,,58,71,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/26/2000,,,0,,,57,67,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/27/2000,,,0.04,,,58,75,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/28/2000,,,0,,,62,73,50,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/29/2000,,,0,,,59,71,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/30/2000,,,0,,,56,73,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",5/31/2000,,,0,,,51,61,41,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/1/2000,,,0,,,49,67,31,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/2/2000,,,0,,,60,80,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/3/2000,,,0,,,62,81,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/4/2000,,,0,,,62,80,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/8/2000,,,0,,,68,82,54,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/9/2000,,,0,,,56,65,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/10/2000,,,0,,,55,69,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/11/2000,,,0,,,59,71,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/12/2000,,,0.02,,,54,59,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/13/2000,,,0,,,58,70,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/14/2000,,,0,,,61,77,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/15/2000,,,0,,,59,72,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/16/2000,,,0,,,53,66,39,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/17/2000,,,0,,,53,71,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/18/2000,,,0,,,62,81,43,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/19/2000,,,0.12,,,52,64,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/20/2000,,,0,,,51,68,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/21/2000,,,0,,,60,79,40,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/22/2000,,,0,,,66,85,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/23/2000,,,0,,,66,83,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/24/2000,,,0,,,64,80,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/26/2000,,,0,,,62,79,44,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/27/2000,,,0,,,65,78,51,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/28/2000,,,0,,,64,82,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/29/2000,,,0,,,64,81,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",6/30/2000,,,0,,,68,88,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/1/2000,,,0,,,68,84,52,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/2/2000,,,0,,,64,81,46,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/3/2000,,,0,,,64,80,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/4/2000,,,0,,,61,73,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/5/2000,,,0,,,64,82,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/6/2000,,,0,,,65,75,54,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/7/2000,,,0,,,65,82,47,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/8/2000,,,0,,,65,85,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/9/2000,,,0,,,67,81,52,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/10/2000,,,0,,,62,76,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/11/2000,,,0,,,67,86,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/12/2000,,,0,,,70,91,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/13/2000,,,0,,,71,92,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/14/2000,,,0,,,68,87,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/15/2000,,,0,,,68,87,49,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/16/2000,,,0,,,74,89,58,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/17/2000,,,0.06,,,69,81,57,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/18/2000,,,0.18,,,65,77,52,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/19/2000,,,0.01,,,64,82,45,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/20/2000,,,0,,,66,83,48,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",7/21/2000,,,0,,,67,87,46,
